epoch,acc,loss,val_acc,val_loss
0,0.3400327423497582,1.7475203983985277,0.39662859660481703,1.6092309157607216
1,0.4391305862278345,1.50136830608749,0.4465032148349581,1.5090237824938098
2,0.48301926225640773,1.3743834106180295,0.4637782220581044,1.4513171221318768
3,0.5097007906969664,1.3078700880582623,0.4960992037710223,1.3625742612890825
4,0.5289630429523567,1.2653664145218366,0.534132082298643,1.2598924664243345
5,0.5330732522902226,1.2347306400810507,0.48509335205245396,1.3828531448477888
6,0.5442544149923334,1.2052975231263534,0.5440234172353342,1.236954864074042
7,0.5565850430199452,1.1842504598083796,0.5635274574928677,1.1852113052000655
8,0.5632031767083218,1.1637225805801668,0.5433268442803951,1.2518044606839325
9,0.5673482183308233,1.1490268262851333,0.5452772484047561,1.2490714214270944
